id,empresa,sector,año,ingresos_mill_eur,costes_mill_eur,beneficio_mill_eur,empleados,region
400,GreenPower,Energía,2024,142.1,109.86,32.24,,Asia
401,CloudNet,Tecnología,2018,125.01,99.3,25.71,259.0,Europa
402,AutoMotion,Industrial,2016,141.73,111.24,30.49,253.0,Asia
403,CloudNet,Tecnología,2019,91.92,68.55,23.37,137.0,Europa
404,FoodLogix,Retail,2016,189.98,172.42,17.56,194.0,Europa
405,RetailPlus,Retail,2022,91.26,52.31,38.95,226.0,Europa
406,RetailPlus,Retail,2021,169.91,,23.27,272.0,Europa
407,CloudNet,Tecnología,2021,86.59,35.14,51.45,154.0,Europa
408,RetailPlus,Retail,2017,132.39,,36.34,283.0,Europa
409,HealthBridge,Servicios,2018,112.59,83.89,28.7,253.0,América
410,EnergyCorp,Energía,2019,456.48,74.48,39.64,1278.0,
411,AutoMotion,Industrial,2019,97.7,81.4,16.3,242.0,América
412,GreenPower,Energía,2023,223.19,201.23,21.96,381.0,América
413,AutoMotion,Industrial,2015,,162.65,24.46,295.0,Europa
414,InduWare,Industrial,2015,185.14,158.93,26.21,233.0,Asia
415,CloudNet,Tecnología,2020,96.73,76.88,19.85,198.0,Asia
416,TechNova,Tecnología,2016,71.04,40.7,30.34,188.0,América
417,FoodLogix,Retail,2018,129.35,114.91,14.44,276.0,Asia
418,FoodLogix,Retail,2022,153.34,143.28,10.06,279.0,Europa
419,FoodLogix,Retail,2016,169.11,,17.9,383.0,América
420,CloudNet,Tecnología,2023,136.76,113.81,22.95,245.0,Asia
421,SoftSystems,Tecnología,2024,142.33,111.57,30.76,293.0,Asia
422,FoodLogix,Retail,2023,83.17,,31.69,136.0,América
423,CloudNet,Tecnología,2015,115.55,94.59,20.96,191.0,
424,AutoMotion,Industrial,2019,169.44,128.53,40.91,298.0,América
425,FoodLogix,Retail,2015,76.31,,26.84,347.0,Europa
426,TechNova,Tecnología,2022,125.67,72.48,53.19,281.0,
427,HealthBridge,Servicios,2019,,100.77,26.91,260.0,Europa
428,HealthBridge,Servicios,2017,113.9,76.82,37.08,326.0,América
429,HealthBridge,Servicios,2016,88.56,71.87,16.69,103.0,Europa
430,EnergyCorp,Energía,2018,140.32,121.35,18.97,77.0,Asia
431,CloudNet,Tecnología,2020,135.54,80.61,54.93,249.0,América
432,HealthBridge,Servicios,2022,153.54,122.72,30.82,242.0,Europa
433,CloudNet,Tecnología,2022,,129.66,27.1,271.0,Asia
434,CloudNet,Tecnología,2018,132.87,,23.32,329.0,Europa
435,HealthBridge,Servicios,2017,113.0,90.56,22.44,292.0,Europa
436,FoodLogix,Retail,2018,,53.78,30.28,249.0,Europa
437,RetailPlus,Retail,2015,163.44,128.69,34.75,247.0,Asia
438,GreenPower,Energía,2019,152.71,108.81,43.9,294.0,Europa
439,CloudNet,Tecnología,2019,120.41,103.53,16.88,164.0,Europa
440,GreenPower,Energía,2018,107.79,83.89,23.9,235.0,Europa
441,RetailPlus,Retail,2020,122.27,86.97,35.3,244.0,América
442,InduWare,Industrial,2022,139.46,,30.64,91.0,Asia
443,HealthBridge,Servicios,2022,82.43,53.87,28.56,153.0,Europa
444,FoodLogix,Retail,2017,144.0,98.69,45.31,347.0,América
445,GreenPower,Energía,2018,111.46,66.55,44.91,261.0,Europa
446,RetailPlus,Retail,2023,106.52,82.65,23.87,225.0,Europa
447,FoodLogix,Retail,2018,104.47,72.77,31.7,262.0,América
448,InduWare,Industrial,2023,120.12,85.75,34.37,345.0,Europa
449,FoodLogix,Retail,2016,157.98,142.83,15.15,45.0,Asia
450,CloudNet,Tecnología,2021,157.37,141.04,16.33,232.0,Europa
451,AutoMotion,Industrial,2018,73.2,61.22,11.98,293.0,Asia
452,EnergyCorp,Energía,2020,150.37,126.14,24.23,42.0,Europa
453,InduWare,Industrial,2019,98.15,64.23,33.92,131.0,América
454,SoftSystems,Tecnología,2017,127.33,97.48,29.85,296.0,
455,RetailPlus,Retail,2021,124.78,104.51,20.27,345.0,Europa
456,FoodLogix,Retail,2023,113.66,83.93,29.73,175.0,América
457,RetailPlus,Retail,2020,102.27,81.12,21.15,236.0,Europa
458,HealthBridge,Servicios,2024,188.47,172.19,16.28,120.0,Asia
459,EnergyCorp,Energía,2019,178.85,150.94,27.91,196.0,América
460,AutoMotion,Industrial,2017,161.6,137.66,23.94,396.0,América
461,AutoMotion,Industrial,2015,147.12,122.0,25.12,422.0,
462,InduWare,Industrial,2021,95.77,58.35,37.42,273.0,Asia
463,TechNova,Tecnología,2021,172.07,126.45,45.62,252.0,Asia
464,FoodLogix,Retail,2020,89.86,55.26,34.6,,Europa
465,TechNova,Tecnología,2022,200.54,169.17,31.37,220.0,Asia
466,InduWare,Industrial,2020,127.39,,16.53,172.0,Asia
467,AutoMotion,Industrial,2024,168.02,144.59,23.43,166.0,Europa
468,SoftSystems,Tecnología,2017,141.47,99.61,41.86,307.0,América
469,InduWare,Industrial,2020,159.84,137.41,22.43,136.0,América
470,AutoMotion,Industrial,2015,180.05,,26.77,229.0,América
471,RetailPlus,Retail,2024,173.13,137.57,35.56,286.0,América
472,GreenPower,Energía,2020,,183.04,23.56,324.0,América
473,RetailPlus,Retail,2022,,89.59,32.69,372.0,
474,AutoMotion,Industrial,2020,140.31,104.93,35.38,335.0,América
475,HealthBridge,Servicios,2020,105.4,83.79,21.61,166.0,América
476,SoftSystems,Tecnología,2016,41.35,0.0,41.35,161.0,América
477,GreenPower,Energía,2023,111.15,83.92,27.23,274.0,América
478,EnergyCorp,Energía,2021,152.63,114.03,38.6,203.0,Europa
479,SoftSystems,Tecnología,2016,113.32,80.49,32.83,230.0,
480,FoodLogix,Retail,2022,184.29,149.38,34.91,308.0,
481,SoftSystems,Tecnología,2022,146.52,104.79,41.73,264.0,América
482,HealthBridge,Servicios,2018,68.13,,34.0,197.0,América
483,GreenPower,Energía,2022,98.86,63.0,35.86,349.0,América
484,CloudNet,Tecnología,2021,120.85,87.76,33.09,386.0,
485,FoodLogix,Retail,2017,129.63,73.61,56.02,295.0,
486,RetailPlus,Retail,2020,49.57,12.04,37.53,280.0,Europa
487,AutoMotion,Industrial,2016,171.59,134.86,36.73,,América
488,TechNova,Tecnología,2018,71.03,43.12,27.91,181.0,América
489,EnergyCorp,Energía,2023,96.78,60.89,35.89,383.0,América
490,EnergyCorp,Energía,2018,135.79,117.75,18.04,285.0,Europa
491,HealthBridge,Servicios,2017,167.87,143.97,23.9,239.0,Asia
492,RetailPlus,Retail,2019,120.59,98.44,22.15,301.0,Asia
493,CloudNet,Tecnología,2023,115.16,80.96,34.2,179.0,América
494,FoodLogix,Retail,2021,102.5,65.28,37.22,220.0,Asia
495,CloudNet,Tecnología,2023,189.08,163.08,26.0,267.0,Asia
496,SoftSystems,Tecnología,2015,157.3,141.48,15.82,109.0,
497,SoftSystems,Tecnología,2024,58.97,16.34,42.63,205.0,Europa
498,SoftSystems,Tecnología,2021,222.33,197.97,24.36,264.0,Europa
499,TechNova,Tecnología,2016,181.68,131.62,50.06,414.0,América
500,EnergyCorp,Energía,2018,168.33,128.09,40.24,297.0,América
85,FoodLogix,Retail,2019,204.89,,40.32,128.0,Asia
281,HealthBridge,Servicios,2017,118.02,,36.75,160.0,América
399,InduWare,Industrial,2019,56.28,21.88,34.4,248.0,Asia
462,InduWare,Industrial,2021,95.77,58.35,37.42,273.0,Asia
202,InduWare,Industrial,2022,,140.1,34.13,400.0,Europa
305,EnergyCorp,Energía,2024,129.98,84.21,45.77,242.0,Asia
158,GreenPower,Energía,2017,27.92,13.07,14.85,359.0,
123,EnergyCorp,Energía,2020,128.96,98.83,30.13,,América
47,RetailPlus,Retail,2018,152.54,134.85,17.69,268.0,América
308,FoodLogix,Retail,2019,78.94,47.61,31.33,193.0,Europa
